Res2_Phage_C1_2	133243.0	0.0	0.0	2.0	1.0	5.0	10.0	41.0	74.0	246.0	1047.0	3813.0	5832.0	5134.0	4099.0	4700.0	5691.0	7575.0	10190.0	13989.0	18370.0	24367.0	32091.0	41494.0	53422.0	67286.0	82585.0	99598.0	114030.0	120834.0	116824.0	115814.0	142722.0	213364.0	364987.0	1074170.0
Res2_Phage_C2_1	51369.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	4.0	3.0	3.0	5.0	29.0	65.0	157.0	641.0	948.0	683.0	484.0	460.0	558.0	749.0	1041.0	1695.0	2657.0	4009.0	6300.0	9616.0	14870.0	22334.0	32605.0	48951.0	75843.0	139196.0	543110.0
Res2_Phage_C2_2	48651.0	0.0	1.0	1.0	0.0	14.0	27.0	28.0	54.0	56.0	405.0	1622.0	2597.0	2540.0	2269.0	2568.0	3150.0	3945.0	5133.0	6494.0	8321.0	10659.0	13285.0	16279.0	19668.0	23469.0	27330.0	30546.0	31949.0	32019.0	32719.0	37111.0	48692.0	72895.0	132118.0	341776.0
Res2_Phage_C3_1	1815.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	4.0	3.0	3.0	9.0	17.0	35.0	71.0	99.0	173.0	221.0	328.0	458.0	666.0	1140.0	1799.0	2976.0	5001.0	7656.0	11801.0	17985.0	26360.0	38522.0	54048.0	72171.0	93649.0	136137.0	351148.0
Res2_Phage_C3_2	1721.0	0.0	0.0	0.0	0.0	1.0	3.0	16.0	27.0	47.0	100.0	345.0	790.0	896.0	1210.0	2033.0	3064.0	4442.0	6143.0	8219.0	11256.0	14645.0	19283.0	24748.0	30886.0	37899.0	44695.0	51030.0	54410.0	53935.0	46759.0	41498.0	44564.0	56925.0	85604.0	177105.0
Res2_Phage_C4_1	26589.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	3.0	9.0	6.0	9.0	16.0	10.0	44.0	76.0	224.0	405.0	420.0	447.0	574.0	801.0	1105.0	1736.0	2559.0	4055.0	6155.0	9882.0	15438.0	24140.0	36735.0	56723.0	86698.0	134366.0	244461.0	1064365.0
Res2_Phage_C4_2	25482.0	0.0	0.0	0.0	0.0	17.0	32.0	47.0	94.0	96.0	238.0	835.0	1575.0	1660.0	1469.0	1811.0	2388.0	3443.0	4568.0	6333.0	8646.0	11538.0	15752.0	20567.0	27050.0	34787.0	43698.0	53566.0	61500.0	66045.0	64961.0	67321.0	88563.0	136701.0	237025.0	730248.0
Res2_Phage_C5_1	17479.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	4.0	2.0	15.0	45.0	89.0	198.0	272.0	357.0	398.0	461.0	595.0	814.0	1120.0	1578.0	2531.0	3826.0	5978.0	9355.0	14712.0	22902.0	35049.0	55474.0	90035.0	170441.0	652204.0
Res2_Phage_C5_2	16771.0	0.0	0.0	0.0	1.0	11.0	12.0	22.0	59.0	48.0	152.0	627.0	1147.0	1200.0	1264.0	1530.0	2227.0	2876.0	3776.0	5114.0	6659.0	8690.0	11476.0	14403.0	18280.0	22514.0	27324.0	32552.0	37256.0	40116.0	41329.0	44606.0	54068.0	78611.0	149693.0	461526.0
Res2_Phage_C6_1	27500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	4.0	2.0	5.0	18.0	43.0	96.0	200.0	220.0	258.0	280.0	417.0	680.0	961.0	1534.0	2481.0	3729.0	5696.0	9031.0	13201.0	19955.0	29422.0	42350.0	61592.0	109333.0	406497.0
