Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Res2_Phage_B5_2	50.30411841536498	39.0	171.85693400218926	20.0	402877.0
Res2_Phage_B6_1	49.66867598159492	38.0	147.61386918546674	30.0	1098089.0
Res2_Phage_B6_2	48.4449735111341	39.0	152.51619859592438	30.0	1098089.0
Res2_Phage_C1_1	40.54883452345087	38.0	182.8760120236999	20.0	2877650.0
Res2_Phage_C1_2	38.58757836324113	39.0	188.43417093809185	30.0	2877650.0
Res2_Phage_C2_1	34.5079731151195	41.0	168.266735601649	30.0	958391.0
Res2_Phage_C2_2	31.23906311841536	42.0	175.2037853026583	30.0	958391.0
Res2_Phage_C3_1	32.37139839618082	40.0	232.7406050474403	20.0	824299.0
Res2_Phage_C3_2	29.924183202150516	41.0	240.57156565760724	20.0	824299.0
Res2_Phage_C4_1	37.823513054510904	37.0	191.55424968685537	20.0	1718056.0
Res2_Phage_C4_2	35.919189764873565	37.0	197.46196806157658	30.0	1718056.0
Res2_Phage_C5_1	29.220069301413616	40.0	175.67804206493912	20.0	1085940.0
Res2_Phage_C5_2	27.535319293677176	41.0	181.15211245556844	30.0	1085940.0
Res2_Phage_C6_1	17.661002224596885	39.0	216.6415276474827	20.0	735510.0
Res2_Phage_C6_2	16.579262077307533	40.0	221.60344114967845	30.0	735510.0
Res2_Phage_D1_1	22.06234254248804	38.0	206.19176566791126	20.0	1296280.0
Res2_Phage_D1_2	20.941119502763016	39.0	211.92656447681057	30.0	1296280.0
Res2_Phage_D2_1	35.21045061515183	35.0	210.2558223416755	20.0	1657924.0
Res2_Phage_D2_2	32.93595894562756	36.0	216.58598705368883	20.0	1657924.0
Res2_Phage_D3_1	51.43951040421107	31.0	183.21998643085047	30.0	1468036.0
Res2_Phage_D3_2	49.82146518685594	32.0	187.80870836954952	10.0	1468036.0
Res2_Phage_D4_1	45.081293590153074	33.0	185.471315547508	20.0	566631.0
Res2_Phage_D4_2	42.90253567039236	34.0	190.9640400895821	20.0	566631.0
Res2_Phage_D5_1	35.954786030300895	39.0	186.30150378659192	30.0	1686609.0
Res2_Phage_D5_2	34.715412709336064	40.0	192.97256329119554	30.0	1686609.0
Res2_Phage_D6_1	46.8235035792334	35.0	168.94559812853262	10.0	2064690.0
Res2_Phage_D6_2	45.23008632431599	36.0	173.25834532060503	20.0	2064690.0
Res2_Phage_E1_1	42.37313979423411	39.0	190.78791291143202	20.0	5829973.0
Res2_Phage_E1_2	40.044606060917886	39.0	194.03738199130595	30.0	5829973.0
Res2_Phage_E2_1	41.57743613410416	38.0	163.63865469642295	30.0	2216719.0
Res2_Phage_E2_2	39.09102737454575	39.0	171.00346097092145	30.0	2216719.0
Res2_Phage_E3_1	36.336139609029594	42.0	160.67448514899968	30.0	1878796.0
Res2_Phage_E3_2	34.38407287603886	43.0	168.78245802098792	30.0	1878796.0
Res2_Phage_E4_1	69.03250437437934	40.0	191.14063204628	40.0	6889717.0
Res2_Phage_E4_2	66.24960764051933	41.0	193.25775253178034	40.0	6889717.0
Res2_Phage_E5_1	28.396499083794552	39.0	223.75795227688377	10.0	740354.0
Res2_Phage_E5_2	27.36476664022345	40.0	228.930406265111	20.0	740354.0
Res2_Phage_E6_1	48.0599158652775	41.0	220.79932992966516	20.0	931544.0
Res2_Phage_E6_2	43.68603626275812	43.0	227.15191767645973	30.0	931544.0
Res2_Phage_F1_1	38.52844376025424	48.0	201.56496589269315	30.0	3049200.0
Res2_Phage_F1_2	34.89708431698007	49.0	206.1263947920766	30.0	3049200.0
Res2_Phage_F2_1	41.45888579222288	48.0	175.55799899916596	20.0	1498750.0
Res2_Phage_F2_2	39.243106974200174	49.0	179.8271019182652	30.0	1498750.0
Res2_Phage_F3_1	50.700563406635645	34.0	192.41976351725697	20.0	1804952.0
Res2_Phage_F3_2	48.87073980913329	35.0	197.4373767280238	20.0	1804952.0
Res2_Phage_F4_1	50.962591629359736	40.0	220.72261642363307	20.0	1374227.0
Res2_Phage_F4_2	48.11707212741605	41.0	225.79639826607976	20.0	1374227.0
Res2_Phage_F5_1	31.118340166013112	42.0	173.95402934671597	20.0	999703.0
Res2_Phage_F5_2	30.139915160384888	44.0	181.13661257393446	30.0	999703.0
Res2_Phage_F6_1	36.393312299533775	47.0	191.26665605105785	20.0	621726.0
Res2_Phage_F6_2	34.27614094874927	48.0	195.01074428285128	30.0	621726.0
Res2_Phage_G1_1	40.03988681107514	36.0	141.83950391203388	20.0	2424570.0
Res2_Phage_G1_2	38.13205012485514	37.0	146.4765352206783	30.0	2424570.0
Res2_Phage_G2_1	57.27163933738851	38.0	211.31483598166258	20.0	1542419.0
Res2_Phage_G2_2	54.5670909390332	39.0	217.92602334385145	20.0	1542419.0
Res2_Phage_G3_1	64.13974476247884	40.0	143.5082573305916	40.0	2349367.0
Res2_Phage_G3_2	61.5573240036179	41.0	150.08213659253747	40.0	2349367.0
Res2_Phage_G4_1	43.48402702713538	39.0	162.82196170138218	30.0	1752387.0
Res2_Phage_G4_2	41.46281162077925	40.0	169.0379927493185	30.0	1752387.0
Res2_Phage_G5_1	48.73344644836032	43.0	178.4126122670833	30.0	849982.0
Res2_Phage_G5_2	45.53244929806838	44.0	185.10345866147753	30.0	849982.0
Res2_Phage_G6_1	59.29458375132629	43.0	184.5227732891912	30.0	720098.0
Res2_Phage_G6_2	53.95236994597254	45.0	193.51199420078933	40.0	720098.0
Res2_Phage_H1_1	48.95547875839691	39.0	198.05592610261616	20.0	1769156.0
Res2_Phage_H1_2	47.42491822655064	40.0	204.2536983736878	30.0	1769156.0
Res2_Phage_H2_1	55.12102932964223	41.0	166.74957414431398	30.0	3390233.0
Res2_Phage_H2_2	52.21195886261645	42.0	175.28894621697094	40.0	3390233.0
Res2_Phage_H3_1	39.40737557740805	42.0	194.6135942535902	20.0	2500483.0
Res2_Phage_H3_2	37.51196377331667	43.0	199.9447134813554	30.0	2500483.0
Res2_Phage_H4_1	38.77607478668011	40.0	198.13315459356537	20.0	714260.0
Res2_Phage_H4_2	36.434821784087475	41.0	202.78976143141153	30.0	714260.0
Res2_Phage_H5_1	66.50512021664929	45.0	113.8529932384852	60.0	467203.0
Res2_Phage_H5_2	62.02091329219953	46.0	123.92294570026306	60.0	467203.0
Res2_Phage_H6_1	30.258321541968144	44.0	170.93957570307705	20.0	1295555.0
Res2_Phage_H6_2	29.144858484510166	44.0	175.00321252281842	30.0	1295555.0
Res2_Phage_I1_1	43.78084227634743	37.0	180.44781014662922	20.0	2295245.0
Res2_Phage_I1_2	42.16932511924089	38.0	184.93707774115617	30.0	2295245.0
Res2_Phage_I2_1	41.57034948001485	38.0	202.29309713629075	20.0	1750911.0
Res2_Phage_I2_2	38.732925750704595	39.0	207.2594163838139	30.0	1750911.0
Res2_Phage_I3_1	35.829353459761975	33.0	192.74537145720657	0.0	886024.0
Res2_Phage_I3_2	34.344886888568695	34.0	198.24142235424773	10.0	886024.0
Res2_Phage_I4_1	33.84863840712315	38.0	210.01359173321762	10.0	1297627.0
Res2_Phage_I4_2	31.88858878577335	39.0	219.2543103680796	10.0	1297627.0
Res2_Phage_I5_1	49.157166074469835	37.0	174.70664694071647	20.0	2015619.0
Res2_Phage_I5_2	47.23339621563281	37.0	179.16079576546957	30.0	2015619.0
Res2_Phage_I6_1	49.80822017639922	36.0	206.74621948080963	10.0	1767945.0
Res2_Phage_I6_2	48.11430653049261	36.0	210.5161636815625	20.0	1767945.0
Res2_Phage_J1_1	41.21880355295453	38.0	190.39272695927326	30.0	2424598.0
Res2_Phage_J1_2	38.37462653074486	39.0	196.978297433224	40.0	2424598.0
Res2_Phage_J2_1	59.38482220678114	36.0	148.11633276471105	30.0	2800922.0
Res2_Phage_J2_2	57.856779344876905	37.0	152.36992675983123	40.0	2800922.0
Res2_Phage_J4_1	54.92656248879698	40.0	187.8737554744542	30.0	2194511.0
Res2_Phage_J4_2	52.79365460587694	41.0	193.8745675004591	40.0	2194511.0
Res2_Phage_J5_1	32.21483106246585	37.0	190.73141649946325	20.0	668846.0
Res2_Phage_J5_2	30.420423653752522	37.0	194.5371071965744	30.0	668846.0
Res2_Phage_J6_1	43.131052576474325	36.0	203.91350365800517	30.0	1569708.0
Res2_Phage_J6_2	40.745714286133236	37.0	210.7442766425348	30.0	1569708.0
