prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndC_bin_068_k141_76716_fragment_2	IndC_bin_068_k141_76716	no	4.301205779852665e-07	0	0.8689182761159214	-1.974855807801429	7628	13.090980597797587	13.0	5.157654272637632	66726	15.065836405599017	15.0	5.339568296609583
IndC_bin_019_k141_43937_fragment_1	IndC_bin_019_k141_43937	no	0.8987355130835839	0	0.9778916902022436	-0.2790173456460696	7058	12.341456503258714	12.0	4.103125263956706	4474	12.620473848904783	12.0	6.6065966497524
IndC_bin_046_k141_321659_fragment_2	IndC_bin_046_k141_321659	no	0.004599978955855219	0.17964852247701507	1.0474611748413947	4.375299570550581	46729	96.56222046266772	91	27.28663682503079	128862	92.18692089211714	90.0	21.017842520762944
IndC_bin_104_k141_11584_fragment_1	IndC_bin_104_k141_11584	no	0.15850931823206288	0.20080322971826128	1.0317965336420878	3.8504975555801195	21176	124.9485266339252	128.0	20.686902921718566	79303	121.09802907834508	121	17.534247167654847
IndC_bin_114_k141_325427_fragment_1	IndC_bin_114_k141_325427	no	0.7109793012971959	0.11872669634233661	1.0382036467850357	2.13135107121159	12235	57.92055578259093	54	20.16396897790761	41092	55.78920471137934	55.0	15.425448678866434
IndC_bin_081_k141_329932_fragment_4	IndC_bin_081_k141_329932	no	0.0016152041819960036	0.28972171760593524	1.0648116185428218	2.9857996024475923	9800	49.05469387755102	48.0	9.938984608634927	396898	46.068894275103425	45.0	10.659903971059428
IndC_bin_054_k141_116958_fragment_1	IndC_bin_054_k141_116958	yes	1.1256507755192e-105	2.0997999853107143	3.0952282454043663	20.423370137955846	61755	30.170933527649584	31	12.130193238582224	79311	9.747563389693738	10	6.485508482975869
IndC_bin_049_k141_33902_fragment_5	IndC_bin_049_k141_33902	no	8.7950258376058e-08	0.36621481209503554	1.3789136719366983	0.6737389656791419	27345	2.4518193454013533	2	2.044244120767218	385545	1.7780803797222113	2	1.6094505130312013
IndC_bin_040_k141_84976_fragment_1	IndC_bin_040_k141_84976	no	1.1059297725281573e-05	0.33713253092894	1.2427428424474232	0.8835305991856308	34662	4.523310830304079	4.0	2.7603816792363065	38768	3.6397802311184484	3.0	2.473188083423511
IndC_bin_107_k141_256674_fragment_1	IndC_bin_107_k141_256674	no	0.21404659741407275	0	0.9953971348940878	-0.011918985651482306	16634	2.5775520019237708	2.0	1.7746970347562847	78070	2.589470987575253	2.0	2.00502304178626
IndC_bin_062_k141_9565_fragment_6	IndC_bin_062_k141_9565	no	0.15348662437494673	0.09033634278001858	1.0214828879565563	0.7256928855032356	53607	34.50573619116906	34	8.168477408385817	271558	33.78004330566583	33.0	7.89567224005008
IndC_bin_017_k141_161157_fragment_2	IndC_bin_017_k141_161157	no	0.09992165882484094	0.02815292515204859	1.0132511891246876	0.0902934524721486	9131	6.904282115869018	7	3.073939902562186	68098	6.813988663396869	7.0	3.3352347714219537
IndC_bin_105_k141_332605_fragment_1	IndC_bin_105_k141_332605	no	0.0005240414498759616	0	0.8192246278709915	-0.8305275972283694	12405	3.7637243047158404	3	2.3377445661000666	47320	4.59425190194421	4.0	2.9900036916474186
IndC_bin_128_k141_376972_fragment_1	IndC_bin_128_k141_376972	yes	3.8652623867545083e-63	1.232240036449325	1.6501288298349146	10.89708161198006	10123	27.658500444532255	28	9.240344111569234	46940	16.761418832552195	15.0	8.427593500393902
IndC_bin_082_k141_159123_fragment_2	IndC_bin_082_k141_159123	no	1.863950732151205e-41	1.1498488240979199	1.2998701520149314	41.788364612033405	8050	181.1432298136646	189.0	42.77563829111066	70624	139.35486520163118	139.0	28.492057197917354
IndC_bin_008_k141_237965_fragment_1	IndC_bin_008_k141_237965	no	0.043153853916391725	0.0761802799647438	1.1008597603235162	0.11539641481036678	9240	1.2595238095238095	1.0	1.52376498016269	12371	1.1441273947134427	0	1.5057427352437613
IndC_bin_128_k141_329461_fragment_1	IndC_bin_128_k141_329461	no	0.17849250739310618	0.17989099126096278	1.078392075067156	0.9460933429820386	48414	13.014830420952617	13.0	4.872474380038913	184762	12.068737077970578	12.0	5.619484599923161
IndC_bin_104_k141_99197_fragment_2	IndC_bin_104_k141_99197	no	0.15152781428801568	0.07846078610752356	1.0116734620791348	1.249990028103909	10779	108.32962241395306	108	16.278284408637134	96079	107.07963238584915	107	15.576788987983628
IndC_bin_063_k141_79552_fragment_1	IndC_bin_063_k141_79552	no	0.00010179352149713857	0.2745417180237727	1.2500436434117796	0.5341274900590371	16028	2.6702645370601448	2.0	1.9900286163650098	25276	2.1361370470011076	2.0	1.8999771191424528
IndC_bin_069_k141_214115_fragment_1	IndC_bin_069_k141_214115	no	6.426564558992734e-08	0	0.8111402885467758	-1.4474592306865688	11622	6.216744106005851	6.0	3.79913691797025	8931	7.664203336692419	7	3.81486374864
IndC_bin_004_k141_283486_fragment_2	IndC_bin_004_k141_283486	no	0.06438162385354414	0	0.9038752192475639	-11.509820274985927	10770	108.22850510677809	119.0	40.7387745607282	56383	119.73832538176401	119	21.00134505553008
IndC_bin_109_k141_212153_fragment_2	IndC_bin_109_k141_212153	no	0.034796572631401824	0	0.9929882044936786	-3.918238942345397	41499	554.8885515313622	547	61.65463664821524	65209	558.8067904737076	563	66.07275826415493
IndC_bin_066_k141_347821_fragment_1	IndC_bin_066_k141_347821	no	0.7664164646521068	0	0.9823175623941454	-0.1178046008859166	24295	6.5444330109075946	6	3.4257209024554136	97613	6.662237611793511	6	3.6318035279682648
IndC_bin_106_k141_39922_fragment_2	IndC_bin_106_k141_39922	yes	1.0829267714307507e-129	2.33967181164587	3.492153713523011	16.74212918533784	4908	23.460065199674002	24.0	9.523850262307676	94865	6.7179360143361615	6	3.421413307944141
IndC_bin_021_k141_3259_fragment_2	IndC_bin_021_k141_3259	no	0.8954845741373783	0	0.9870425381201553	-0.38395901489281314	10660	29.24831144465291	29.0	7.902526310906426	129084	29.632270459545722	29.0	7.471726033122307
IndC_bin_066_k141_420623_fragment_1	IndC_bin_066_k141_420623	no	0.03145240808922243	0	0.8546189734571974	-1.1656137598696468	27148	6.852033298953883	7.0	3.535320924914338	7990	8.01764705882353	7.0	4.084881586380874
IndC_bin_129_k141_59354_fragment_2	IndC_bin_129_k141_59354	no	0.027930260878988103	0	0.9852321106186738	-0.06808586431572028	9666	4.5423132629836545	4.0	2.6381183208393115	120087	4.610399127299375	4	2.8400329749584
IndC_bin_069_k141_210219_fragment_2	IndC_bin_069_k141_210219	no	0.04862537297784082	0.15281614208834268	1.0803307600058174	0.5181542117149567	45937	6.968413261640943	7	3.5272708768910555	118896	6.450259049925986	6.0	3.2483994797634614
