prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndF_bin_125_k141_25669_fragment_1	IndF_bin_125_k141_25669	no	0.0003235730325398381	0.2584322985834297	1.2319320356559602	0.563986891166071	9716	2.9956772334293946	2.0	2.3580616629684883	20978	2.4316903422633236	2.0	1.991168615554353
IndF_bin_099_k141_367504_fragment_1	IndF_bin_099_k141_367504	no	1.022477788055736e-18	0	0.8141879869080528	-5.685419398042118	64931	24.91227610848439	24	7.947715644318409	34628	30.59769550652651	30.0	9.053874134701132
IndF_bin_135_k141_9417_fragment_1	IndF_bin_135_k141_9417	no	1.6766555394709464e-60	0	0.35618157019914926	-11.30483977414518	10511	6.2542098753686615	0	11.16290901596306	61914	17.55904964951384	18.0	9.269234179992926
IndF_bin_143_k141_525029_fragment_1	IndF_bin_143_k141_525029	no	4.5456058141370595e-06	0	0.9129024877888521	-0.708242860079757	34384	7.423365518845975	7.0	4.168414785459624	33083	8.131608378925732	8	4.159982262561695
IndF_bin_143_k141_525029_fragment_2	IndF_bin_143_k141_525029	no	0.09398678183519737	0	0.9119664785046177	-0.7158541210181895	6576	7.415754257907542	7.0	4.66360926594211	33083	8.131608378925732	8	4.159982262561695
IndF_bin_062_k141_202711_fragment_1	IndF_bin_062_k141_202711	no	0.2998366972575059	0	0.9291825710180821	-0.20707224579043793	8663	2.71695717418908	2	2.173069861793132	42964	2.924029419979518	2.0	2.6411331634715585
IndF_bin_092_k141_401699_fragment_3	IndF_bin_092_k141_401699	no	2.002215286891662e-11	0.45517892249339703	1.1724534283313028	2.8691962144680865	70571	19.506709554916327	19	6.629353583583641	56220	16.63751334044824	16.0	5.95974490088335
IndF_bin_080_k141_288223_fragment_1	IndF_bin_080_k141_288223	no	2.03769562662208e-09	0	0.9111840392047366	-2.622809661634573	59833	26.908027342770712	26	7.311454154565506	6810	29.530837004405285	29.0	8.274640539061453
IndF_bin_040_k141_351490_fragment_2	IndF_bin_040_k141_351490	no	0.0033905430473969993	0	0.5556949564755255	-0.5785126452927831	11890	0.7235492010092515	0.0	1.0217710115168814	110047	1.3020618463020346	0	2.0337870918114413
IndF_bin_127_k141_290177_fragment_1	IndF_bin_127_k141_290177	no	3.048477416088355e-10	0.26459829893798026	1.1120523703733405	1.4678032779684322	29069	14.56706457050466	14	5.004107668766695	49546	13.099261292536228	12.0	6.0418325613701676
IndF_bin_137_k141_63544_fragment_1	IndF_bin_137_k141_63544	no	0.5129282723738384	0.08200629273588038	1.0361347275978583	0.32550382816982193	33127	9.333564765900928	9	3.9652923879652335	13522	9.008060937731106	9.0	3.973212215122232
IndF_bin_135_k141_313822_fragment_1	IndF_bin_135_k141_313822	no	1.3505469738165155e-10	0.427192118159234	1.148999356335878	2.6603033569243344	10125	20.514765432098766	20	6.687964287770265	35544	17.854462075174432	18.0	5.729971441778654
IndF_bin_099_k141_312424_fragment_2	IndF_bin_099_k141_312424	no	0.23211068318346176	0	0.9985034731125536	-0.032978295539049185	10068	22.00357568533969	22.0	9.972097116330115	85873	22.03655398087874	21	7.586712456664441
IndF_bin_143_k141_235677_fragment_1	IndF_bin_143_k141_235677	no	0.8191889955966147	0	0.9902796223217027	-0.05060298181147793	39855	5.155262827750596	5	3.2268073514374844	12445	5.205865809562074	5	3.087710782270895
IndF_bin_106_k141_424770_fragment_1	IndF_bin_106_k141_424770	no	1.5597633901779042e-29	0	0.7977036310786648	-11.894024134079793	12831	46.90102096485075	45	13.059908416331805	83594	58.795045098930544	56.0	18.392379801164335
IndF_bin_072_k141_494683_fragment_1	IndF_bin_072_k141_494683	no	3.801662466952447e-126	0	0.07471485580526079	-25.079236919274926	33471	2.0250963520659675	2	1.9359702607326201	10754	27.104333271340895	29.0	15.145258837450626
IndF_bin_114_k141_474951_fragment_1	IndF_bin_114_k141_474951	no	2.5856219383393374e-20	0.5137548972979114	1.1118326496509956	11.16803986726724	22133	111.03189807075408	111	22.762435682937465	72329	99.86385820348684	99	20.662983508036852
IndF_bin_020_k141_173730_fragment_1	IndF_bin_020_k141_173730	no	0.023960806510075157	0.274502966383151	1.1382200745479263	0.9392390868794047	10150	7.73448275862069	8.0	3.426744618599391	99909	6.795243671741285	6	3.416445716113864
IndF_bin_143_k141_497184_fragment_1	IndF_bin_143_k141_497184	no	0.006183061288131595	0	0.8502171697833326	-0.9317374613682112	11975	5.288851774530271	5	3.6293058346118294	14697	6.2205892358984824	6	4.11569590174767
IndF_bin_143_k141_225246_fragment_1	IndF_bin_143_k141_225246	no	0.6131972430095465	0	0.9336322161243978	-0.3160000409152959	37308	4.4453468425002685	4.0	2.930588626669711	50873	4.761346883415564	4	2.965597658257541
IndF_bin_064_k141_407748_fragment_2	IndF_bin_064_k141_407748	no	nan	0	0	0	7876	0	0.0	0.0	78826	0	0.0	0.0
IndF_bin_137_k141_313734_fragment_2	IndF_bin_137_k141_313734	no	0.04409600343785643	0	0.9643859286151943	-0.29883220210244765	11846	8.092014182002364	8.0	3.791458091139786	115255	8.390846384104812	8	3.9038393506122326
