Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Res2_DNA_I5_2	11.124267356261711	47.0	126.0	18.181818181818183	46756239.0
Res2_DNA_I6_1	10.633430750222331	46.0	126.0	9.090909090909092	41614620.0
Res2_DNA_I6_2	9.797785132731747	46.0	126.0	9.090909090909092	41614620.0
Res2_DNA_J1_1	18.24070997838038	45.0	126.0	0.0	46474477.0
Res2_DNA_J1_2	16.92712174156317	45.0	126.0	18.181818181818183	46474477.0
Res2_DNA_J2_1	27.3078966326933	43.0	126.0	0.0	44253414.0
Res2_DNA_J2_2	26.214535467897633	43.0	126.0	9.090909090909092	44253414.0
Res2_DNA_J4_1	14.073857910925142	45.0	126.0	0.0	41631306.0
Res2_DNA_J4_2	13.036597062113572	45.0	126.0	9.090909090909092	41631306.0
Res2_DNA_J5_1	15.433358016626215	45.0	126.0	0.0	43165545.0
Res2_DNA_J5_2	14.590301136907442	45.0	126.0	9.090909090909092	43165545.0
Res2_DNA_J6_1	13.200284985053528	48.0	126.0	9.090909090909092	44644217.0
Res2_DNA_J6_2	12.277754786560948	48.0	126.0	9.090909090909092	44644217.0
